input,expected_output,expected_articles
Was erwartet die Linken-Chefin Ines Schwerdtner vom SPD-Beschluss zur Vorbereitung eines AfD-Verbotsverfahrens?,Linken-Chefin Ines Schwerdtner erwartet keine Konsequenzen aus dem SPD-Beschluss zur Vorbereitung eines AfD-Verbotsverfahrens.,2025-06-30/inland/article_5.md
Wie viel hat sich der Nettogewinn von Airbus erhöht?,Der Nettogewinn erhöhte sich um ein Drittel auf 793 Millionen Euro.,2025-04-30/wirtschaft/article_0.md
Wie hat sich der Gewinn pro Aktie von Ford im Vergleich zum Vorjahr verändert?,"Der Gewinn pro Aktie sank auf 14 Cents, mehr als 70 Prozent unter den 49 Cents des Vorjahrs.",2025-05-06/wirtschaft/article_4.md
"Was hat Anna-Lena Brei geholfen, ihren Ausbildungsplatz zu finden?","Geholfen hat ihr die 'Bielefelder Nacht der Berufe', bei der zahlreiche Unternehmen ihre Türen öffnen und Azubis aus ihrem Alltag berichten.",2025-02-28/wirtschaft/article_2.md
Welche Hürden müssen für ein Abkommen zwischen der EU und Indien überwunden werden?,"Die EU fordert, dass Indien die Zölle auf Autos, Wein und Spirituosen senkt, während Indien im Gegenzug einen besseren Zugang für seine preiswerteren Medikamente und Chemikalien auf dem EU-Markt anstrebt.",2025-02-28/ausland/article_1.md
Wie viele Klagen gegen Fluggesellschaften gab es im Jahr 2024 beim Amtsgericht Köln?,Es gab im Jahr 2024 beim Amtsgericht Köln knapp 41.300 Verfahren.,2025-01-31/wirtschaft/article_5.md
Welche Forderung von Friedrich Merz gilt als einer der schwierigsten Punkte in den Sondierungsgesprächen?,"Die Forderung von Friedrich Merz, an Deutschlands Grenzen auch Asylsuchende zurückzuweisen.",2025-02-28/inland/article_1.md|2025-02-28/inland/article_2.md
Welche Rolle spielt Elon Musk in der amerikanischen Politik laut William Resh?,"Elon Musk ist der größte Wahlkampfspender der Partei und einflussreicher Ratgeber, der unverzichtbar bleibt und dabei seine eigenen Ziele im Blick behält.",2025-05-31/ausland/article_1.md
Welche Koalition schließt Merz klar aus?,Merz schließt eine Koalition mit der AfD klar aus.,2025-02-23/inland/article_4.md
Welche Branche hat im verarbeitenden Gewerbe mehr als 100.000 Arbeitsplätze verloren?,Im verarbeitenden Gewerbe gingen mehr als 100.000 Arbeitsplätze verloren.,2025-02-28/wirtschaft/article_13.md
"Was schlägt der Text vor, um den Mangel an Arbeitskräften in Deutschland zu beheben?","Der Text schlägt vor, mehr Frauen von Teilzeit in Vollzeit zu bringen, Menschen länger arbeiten zu lassen und Arbeitskräfte aus dem Ausland zu holen.",2025-05-31/wirtschaft/article_2.md
Was sollte bei der Planung eines Entnahmeplans für den Ruhestand berücksichtigt werden?,Neben der erwarteten Höhe der gesetzlichen Rente sollten weitere Einnahmen wie eine zusätzliche Betriebsrente oder Mieteinnahmen abgeschätzt und den erwarteten Ausgaben im Ruhestand gegenübergestellt werden.,2025-03-14/wirtschaft/article_3.md
Welche Bundesländer in Deutschland waren 2024 besonders von Hochwasserschäden betroffen?,Besonders Bayern und Baden-Württemberg waren betroffen.,2025-05-31/wirtschaft/article_3.md
"Wie hoch ist der Anteil der britischen Güter, die in die Europäische Union exportiert werden?","50,4 Prozent der Güter aus Großbritannien gehen nach Europa.",2025-01-31/wirtschaft/article_1.md
Wie viel Geld aus dem Finanzpaket soll in den Klimaschutz fließen?,100 Milliarden Euro sollen in den Klimaschutz fließen.,2025-03-14/inland/article_1.md|2025-03-14/inland/article_8.md|2025-03-14/inland/article_2.md
Wie viele Beschäftigte sind von der Stilllegung des Werks betroffen?,Rund 3.000 Beschäftigte und Hunderte Arbeitskräfte bei Zulieferern sind betroffen.,2025-02-28/wirtschaft/article_10.md
"Was passiert finanziell, wenn der versorgende Familienmitglied stirbt?","Ein wesentlicher Teil des gemeinsamen Einkommens oder sogar mehr entfällt, und das Risiko einer finanziellen Überlastung durch die Wohnkosten verdreifacht sich. Besonders schwierig kann es für Hinterbliebene mit Kindern werden, die möglicherweise ihre Arbeitszeit reduzieren müssen, um die Betreuung zu gewährleisten, wodurch das verfügbare Einkommen zusätzlich sinkt.",2025-04-30/wirtschaft/article_5.md
Wie lange dauerte die längste Papstwahl in der Geschichte?,"Die längste Wahl begann im Herbst 1268 und dauerte zwei Jahre, neun Monate und zwei Tage.",2025-05-08/ausland/article_5.md
Welche Lebensmittelstandards sollen in Großbritannien nicht anerkannt werden?,"US-Lebensmittelstandards, insbesondere Chlorhühnchen und hormonbehandeltes Rindfleisch, sollen in Großbritannien nicht anerkannt werden.",2025-05-08/ausland/article_11.md
Was ist der Marktwert des Meme Coins $Trump?,Der Marktwert des Meme Coins $Trump beträgt rund zehn Milliarden Dollar.,2025-01-20/wirtschaft/article_1.md
"Was müssen US-Bundesangestellte laut der E-Mail bis Montagabend tun, um eine Kündigung zu vermeiden?",Sie müssen ihre Arbeitsergebnisse der vergangenen Woche auflisten und in fünf Stichpunkten zusammenfassen.,2025-02-23/ausland/article_8.md
Was fordert die extreme Rechte laut Volker Weiß in Bezug auf die Erinnerungskultur des Nationalsozialismus?,"Die extreme Rechte fordert einen Perspektivwechsel, bei dem sich die Erinnerung wieder auf die deutschen Verluste und die Auflösung des Reiches konzentrieren soll, und das militärische und politische Geschehen vom Kontext des deutschen Expansions- und Vernichtungskrieges gelöst werden soll.",2025-05-08/inland/article_11.md
Welche Hersteller bieten Smartphones unter 500 Euro an?,"Samsung, Google und die Hersteller aus China bieten Smartphones unter 500 Euro an.",2025-02-28/wirtschaft/article_0.md
Welche Position hatte Prevost vor seiner Ernennung zum Kardinal inne?,"Prevost leitete die Vatikanbehörde für Bischöfe, sozusagen die Personalabteilung der katholischen Weltkirche.",2025-05-08/ausland/article_8.md|2025-05-08/ausland/article_16.md
In welcher Kinderserie wurde Janson in den 1980er Jahren bekannt?,In der 'Sesamstraße' als Freund von Tiffy und Samson.,2025-01-28/inland/article_5.md
Was fordert die Grünen-Fraktionschefin Dröge im Streit über das Finanzpaket?,"Die Grünen-Fraktionschefin Dröge fordert, dass das Finanzpaket von Union und SPD aufgeschnürt wird und dass zunächst nur über die Verteidigungsausgaben eine Einigung erzielt wird.",2025-03-14/inland/article_7.md
Wie lange ist die Laufzeit des Angebots des Konzerns an die EVG?,Die Laufzeit des Angebots beträgt 37 Monate.,2025-01-28/wirtschaft/article_1.md
Warum wurde die Immunität von Petr Bystron aufgehoben?,Die Immunität von Petr Bystron wurde wegen des Verdachts der Geldwäsche und Bestechlichkeit aufgehoben.,2025-05-06/ausland/article_4.md
Welche Regionalzeitungen in Baden-Württemberg will die Südwestdeutsche Medienholding verkaufen?,"Die Südwestdeutsche Medienholding will die Regionalzeitungen in Baden-Württemberg, darunter die Stuttgarter Zeitung und die Stuttgarter Nachrichten, verkaufen.",2025-06-30/wirtschaft/article_0.md
Wie viele Menschen sterben täglich im Straßenverkehr in Deutschland laut Kerstin Haarmann?,In Deutschland sterben täglich acht Menschen im Straßenverkehr.,2025-01-28/inland/article_10.md
"Wer hat die SPD beschuldigt, wie ein 'Mini-Trump' aufzutreten?",Der CDU-Chef.,2025-02-28/inland/article_2.md
Welches Land ist Russlands wichtigster Handelspartner?,China ist Russlands wichtigster Handelspartner.,2025-05-08/ausland/article_3.md
Was plant die EU als Reaktion auf die Erhöhung der US-Zölle auf Stahl- und Aluminiumimporte?,"Die EU sei bereit, Gegenmaßnahmen zu ergreifen, und dies könne auch früher passieren als am 14. Juli.",2025-05-31/ausland/article_13.md
Mit welchem Land hat US-Präsident Trump einen ersten Handelspakt erzielt?,Großbritannien,2025-05-08/ausland/article_11.md
Was ist die Antwort der Hamas auf Israels Pläne zur Eroberung des Gazastreifens?,Die Hamas lehnt weitere Gespräche ab und will nicht mehr über eine Waffenruhe verhandeln.,2025-05-06/ausland/article_0.md
Was ist die Haltung der Union zur Zusammenarbeit mit der AfD bei der Abstimmung über Migrationspolitik?,"Die Union strebt keine Mehrheit mit der AfD und dem BSW an, sondern ruft SPD und Grüne auf, für die Anträge zu stimmen. Sie arbeitet nicht mit der AfD zusammen, gibt ihren Vertretern die Antragsentwürfe nicht und spricht sich nicht mit der AfD ab.",2025-01-28/inland/article_0.md
Warum hat die Trump-Regierung Fördermittel für Harvard eingefroren?,"Die Trump-Regierung hat Fördermittel für Harvard eingefroren, weil sie der Universität vorwirft, antisemitische Proteste zugelassen zu haben und sich nicht an föderale Vorgaben zu halten. Zudem wird Harvard eine linksliberale Ausrichtung unterstellt, insbesondere bei Programmen zur Förderung benachteiligter Gruppen.",2025-05-06/ausland/article_3.md
Wie viele Ukrainerinnen und Ukrainer sind seit dem russischen Angriffskrieg in Deutschland sozialversicherungspflichtig beschäftigt?,Mehr als 245.000 Ukrainerinnen und Ukrainer sind sozialversicherungspflichtig beschäftigt.,2025-02-23/inland/article_2.md
"Welche Parteien sind Teil der Koalition, die sich auf verlässliches Regieren konzentriert?","CDU, CSU und SPD",2025-04-30/inland/article_2.md
Wann wird der Skype-Dienst von Microsoft eingestellt?,Ab Mai 2025 wird Skype nicht mehr verfügbar sein.,2025-02-28/wirtschaft/article_9.md
Warum musste Northvolt die Produktion von 'Upstream 1' pausieren?,"Northvolt spricht davon, dass man aufgrund der 'operativen und finanziellen Situation' eine neue Priorisierung habe vornehmen müssen.",2025-02-28/wirtschaft/article_7.md
Um wie viel Prozent sank der Gewinn von Daimler im Jahr 2024?,Der Gewinn sank um 37 Prozent.,2025-03-14/wirtschaft/article_4.md
Was fordert der Direktor der Internationalen Atomenergieagentur in Bezug auf das iranische Atomprogramm?,Der Direktor der Internationalen Atomenergieagentur fordert eine Lösung am Verhandlungstisch und eine strenge Überwachung des iranischen Atomprogramms.,2025-06-30/ausland/article_0.md
Wer wurde beim Parteitag in Riesa zur ersten Kanzlerkandidatin der AfD gewählt?,Alice Weidel,2025-02-23/inland/article_13.md
Vor welchen negativen Folgen warnt Tesla die US-Regierung in ihrem Brief?,"Tesla warnt die US-Regierung vor den negativen Folgen amerikanischer Zölle, die zu hohen Kosten für das Unternehmen führen könnten.",2025-03-14/wirtschaft/article_10.md
Welche Parteien sprechen laut Schnabl das Thema Inflation an?,"Inflation wird vor allem von der Linken angesprochen, teils auch von den Grünen.",2025-01-31/wirtschaft/article_4.md
"Was hat das BfV getan, um einem Hängebeschluss zu entgehen?","Das BfV hat eine sogenannte Stillhaltezusage abgegeben, um einem Hängebeschluss zu entgehen.",2025-05-08/inland/article_5.md
Wie viel Prozent Zustimmung hat Friedrich Merz als Oppositionsführer?,35 Prozent,2025-02-23/inland/article_9.md
Wann findet die Bundestagswahl in Deutschland statt?,Im Februar.,2025-01-28/inland/article_1.md
Warum benötigte Papst Franziskus eine Bluttransfusion?,"Bei Untersuchungen war bei Franziskus ein Mangel an Blutplättchen festgestellt worden, die für die Blutgerinnung benötigt werden.",2025-02-23/ausland/article_10.md
Was ist das Risiko im Gefahrengebiet von Blatten?,"Das Risiko ist hoch, da ein gigantischer Schuttkegel das Dorf Blatten unter sich begraben hatte und sehr instabil ist.",2025-05-31/ausland/article_14.md
Warum hat die AfD einen Hängebeschluss beantragt?,"Die AfD argumentierte, dass ohne diesen Hängebeschluss ein 'nicht wiedergutzumachender Schaden' für die Partei und für den demokratischen Willensbildungsprozess entstehe.",2025-05-08/inland/article_5.md
Wie viel Gramm Kohlendioxid pro Kilometer dürfen neu verkaufte Pkw in der EU nach der Änderung ausstoßen?,"Nicht mehr als 93,6 Gramm Kohlendioxid pro Kilometer.",2025-05-08/wirtschaft/article_5.md
Wann kam das Medikament in Deutschland auf den Markt?,In Deutschland kam das Medikament erst 1999 auf den Markt.,2025-05-31/ausland/article_11.md
Welche Aktien fielen um fast neun Prozent?,Die Aktien des Impfstoffherstellers Moderna brachen um fast neun Prozent ein.,2025-03-31/wirtschaft/article_3.md
Wie viel Prozent der weltweiten Mineralressourcen befinden sich laut Hanna Liwentsewa in der Ukraine?,Etwa fünf Prozent der weltweiten Mineralressourcen.,2025-02-28/ausland/article_13.md
Warum ist die Evakuierung der Verwundeten im unterirdischen Lazarett in der Ostukraine schwierig?,"Die Evakuierung der Verwundeten ist schwierig, weil ständig Drohnen angreifen und es keine Möglichkeit gibt, die Soldaten 'angemessen' zu evakuieren. Es dauert in der Regel nicht ein, zwei oder drei Stunden, sondern oft mehrere Tage oder sogar Wochen.",2025-03-31/ausland/article_5.md
"Welche Temperatur wurde in Huelva, Spanien, während der Hitzewelle gemeldet?",46 Grad Celsius,2025-06-30/ausland/article_8.md
Welche Wahrscheinlichkeit einer Rezession in den USA prognostiziert Goldman Sachs aufgrund der Unsicherheiten hinsichtlich der Zölle?,Goldman Sachs erhöhte die Wahrscheinlichkeit einer Rezession in den USA von 20 auf 35 Prozent.,2025-03-31/wirtschaft/article_3.md
Wie viel Prozent stieg der Umsatz im Internet- und Versandhandel im Februar?,"Im Internet- und Versandhandel wurde ein Anstieg von 1,0 Prozent gemeldet.",2025-03-31/wirtschaft/article_6.md
Warum wurde das Treffen zwischen Trump und Selenskyj im Weißen Haus abgebrochen?,"Das Treffen wurde nach einem beispiellosen Streit vor laufenden Kameras abgebrochen, bei dem Trump Selenskyj mit Vorwürfen überzog und ihm vorwarf, einen Dritten Weltkrieg zu riskieren.",2025-02-28/ausland/article_6.md
Was ist der Zweck der 'Leuchttürme' in Deutschland bei einem Stromausfall?,"Der Zweck der 'Leuchttürme' ist es, den Bürgern im Ernstfall Informationen zu geben, wie z.B. wo man Wasser, erste Hilfe und medizinische Unterstützung erhält. Sie dienen als Informations- und Anlaufpunkt für die Bevölkerung und sollen in jedem Katastrophenfall aufgebaut werden.",2025-04-30/wirtschaft/article_12.md
Wie bezeichnete Robert Habeck das Abschneiden seiner Partei bei der Bundestagswahl?,"Robert Habeck bezeichnete das Abschneiden seiner Partei als 'durchwachsen' und ein 'achtbares, okayes Ergebnis - mehr nicht'.",2025-02-23/inland/article_5.md
Wie lange lag die Mutter von Ljiljana Kurtic im Koma?,13 Tage lang lag ihre Mutter im Koma.,2025-01-28/inland/article_11.md
Welche Position wird Stefanie Hubig künftig übernehmen?,"Stefanie Hubig wird neue Ministerin, die aus der Justiz kommt.",2025-05-06/inland/article_1.md
Wie viele ADAC-Mitglieder befürworten ein Tempolimit?,55 Prozent der ADAC-Mitglieder sind für ein Tempolimit.,2025-01-28/inland/article_10.md
Wer erfand die Abtreibungspille RU 486?,Der französische Mediziner und Forscher Étienne-Émile Baulieu.,2025-05-31/ausland/article_11.md
"Welche Voraussetzungen müssen Beschäftigte erfüllen, um Altersteilzeit in Anspruch nehmen zu können?",Beschäftigte müssen mindestens 55 Jahre alt sein und in den letzten fünf Jahren vor der Altersteilzeit wenigstens 1.080 Tage sozialversicherungspflichtig beschäftigt gewesen sein.,2025-01-31/wirtschaft/article_3.md
Wer hat dem Iran Informationen über einen US-Vorschlag für ein neues Atomabkommen übermittelt?,Omans Außenminister Badr al-Bussaidi,2025-05-31/ausland/article_0.md
Welche KI-Funktionen bietet das iPhone 16e?,"Das iPhone 16e hat KI-Funktionen, jedoch hängt Apple mit der Entwicklung seiner 'Apple Intelligence' hinterher und greift bei Bedarf auf die Konkurrenz zurück, wie ChatGPT von OpenAI.",2025-02-28/wirtschaft/article_0.md
"Wann plant Frauke Petry, ihre neue Partei bei Landtagswahlen antreten zu lassen?",Ab 2026,2025-05-06/inland/article_4.md
Zu welcher Strafe wurde Le Pen verurteilt?,Le Pen wurde zu zwei Jahren Haft mit Fußfessel und einer Geldstrafe von 100.000 Euro verurteilt. Zwei weitere Jahre Haft wurden zur Bewährung ausgesetzt.,2025-03-31/ausland/article_9.md
Warum wurde die gemeinsame Pressekonferenz zwischen Trump und Selenskyj abgesagt?,Nach einem für Staatsmänner beispiellosen Streit vor laufenden Kameras hatten Trump und Selenskyj ein Treffen in Washington vorzeitig abgebrochen. Eine gemeinsame Pressekonferenz wurde abgesagt.,2025-02-28/wirtschaft/article_11.md
Weshalb musste Papst Franziskus mechanisch beatmet werden?,Papst Franziskus musste wegen einer Verkrampfung der Atemwege mechanisch beatmet werden.,2025-02-28/ausland/article_0.md
"Wie hoch waren die Sonderkosten, die durch CO2-Rückstellungen und andere Faktoren verursacht wurden?","Die Sonderkosten beliefen sich auf rund 1,1 Milliarden Euro.",2025-04-30/wirtschaft/article_11.md
Welche Parteien unterstützen das Zustrombegrenzungsgesetz?,"Die AfD, FDP, CDU/CSU und das BSW unterstützen das Zustrombegrenzungsgesetz.",2025-01-28/inland/article_4.md
Worüber appellierte Eva Umlauf in ihrem offenen Brief an Friedrich Merz?,"Eva Umlauf appellierte an Friedrich Merz, das Gesetz zur Eindämmung der Migration am Freitag nicht gemeinsam mit der AfD zu beschließen.",2025-01-31/inland/article_5.md
Welche Rolle spielt Psychologie bei Wahlplakaten laut dem Psychologen Dominic Hennig?,"Psychologie spielt eine große Rolle bei der Wählermobilisierung, Bekanntmachung und Wiedererkennung von Personen.",2025-01-28/inland/article_3.md
Welche Zölle plant Trump auf Stahlimporte in die USA zu erheben?,"Trump plant, die Zölle für die Einfuhr von Stahl in die Vereinigten Staaten von derzeit 25 Prozent auf 50 Prozent des Warenwerts zu verdoppeln.",2025-05-31/ausland/article_13.md
Wegen welcher Angelegenheit ermittelt die italienische Staatsanwaltschaft gegen Ministerpräsidentin Meloni?,Die italienische Staatsanwaltschaft ermittelt gegen Ministerpräsidentin Meloni wegen der Freilassung eines international gesuchten libyschen Milizenführers.,2025-01-28/ausland/article_11.md
Mit welchem ausländischen Staatsoberhaupt wurde Friedrich Merz in einem Foto gezeigt?,Mit dem französischen Präsidenten Macron.,2025-02-28/inland/article_0.md
Welche Auswirkungen hat der von Donald Trump begonnene Zollstreit auf die deutsche Wirtschaft?,Der Zollkrieg belastet das Tagesgeschäft enorm und stellt eine Härteprüfung für die deutsche Wirtschaft dar.,2025-04-30/wirtschaft/article_1.md
Was wird von rechts als Folge von Fremdbestimmung und Umerziehung gedeutet?,Die Ausweitung des Gedenkens von den 'deutschen Opfern' auf die 'Opfer der Deutschen' wird von rechts als Folge von Fremdbestimmung und Umerziehung gedeutet.,2025-05-08/inland/article_11.md
Warum lehnen die Grünen die vorliegenden Vorschläge zur Infrastruktur-Förderung ab?,"Die Grünen befürchten, dass eine künftige schwarz-rote Bundesregierung das Geld nicht in Klimaschutz, die Modernisierung der Wirtschaft, die Bahn, die Digitalisierung oder das Stromnetz stecke, sondern damit Steuersenkungen finanziere.",2025-03-14/inland/article_7.md
Wie wird die AfD vom Verfassungsschutz eingestuft?,Der Verfassungsschutz stuft die AfD als in Teilen rechtsextrem ein.,2025-02-23/inland/article_1.md
Was warnt das Deutsche Institut für Wirtschaftsforschung (DIW) bezüglich der Gasimporte aus Russland?,"Das DIW warnt vor der Wiederaufnahme von Gasimporten aus Russland, da es geopolitisch nicht zu verantworten wäre, sich erneut von einem Aggressor abhängig zu machen.",2025-03-31/wirtschaft/article_2.md
Wer warf Friedrich Merz einen 'Erpressungsversuch' vor?,Grünen-Kanzlerkandidat Robert Habeck und Grünen-Fraktionschefin Katharina Dröge.,2025-01-31/inland/article_1.md
Wer bekundete seine Anteilnahme und sprach den Angehörigen der vermissten Soldaten sein Beileid aus?,Staatspräsident Gitanas Nauseda und Außenminister Kestutis Budrys.,2025-03-31/ausland/article_2.md
Welches Land ist der wichtigste Absatzmarkt für die europäische Stahlindustrie?,Die USA sind der wichtigste Absatzmarkt für die europäische Stahlindustrie.,2025-05-31/wirtschaft/article_1.md
Was war der Grund für die Uneinigkeit der ehemaligen Ampel-Parteien?,"Die ehemaligen Ampel-Parteien konnten sich nicht einigen, da die FDP Maximalforderungen stellte und erheblichen Nachbesserungsbedarf sah, während die Grünen SPD und FDP vorwarfen, auf Kompromissvorschläge nicht eingegangen zu sein.",2025-01-28/inland/article_7.md
Was kritisierte Elon Musk bezüglich der Belegschaft in Grünheide?,Elon Musk kritisierte den hohen Krankenstand der Belegschaft in Grünheide.,2025-03-14/wirtschaft/article_6.md
Wie viele Abgeschobene hat Mexiko laut der mexikanischen Präsidentin Claudia Sheinbaum in Empfang genommen?,4.094 Abgeschobene,2025-01-28/ausland/article_3.md
Welche Bundesländer verzeichneten die höchsten versicherten Schäden durch Hochwasser?,"Bayern und Baden-Württemberg verzeichneten versicherte Schäden von jeweils rund 1,6 Milliarden Euro.",2025-05-31/wirtschaft/article_3.md
Wie viel Prozent hat der DAX in der letzten Woche gewonnen?,"Der DAX hat in der Wochenbilanz 1,8 Prozent gewonnen.",2025-01-31/wirtschaft/article_7.md
Wen machte Trump für die Katastrophe verantwortlich?,Trump machte seine politischen Gegner mit ihren Diversitätsregeln für die Katastrophe verantwortlich.,2025-01-31/ausland/article_6.md
Wer hat das historisch schlechteste Wahlergebnis laut SPD-Generalsekretär Matthias Miersch erzielt?,Die SPD hat das historisch schlechteste Wahlergebnis erzielt.,2025-02-23/inland/article_5.md
Wie viele Menschen nahmen an den Demonstrationen gegen Rechtsextremismus in Hamburg teil?,In Hamburg sprach die Polizei in der Spitze von rund 40.000 Teilnehmern.,2025-02-23/inland/article_0.md
"Welche Länder waren an dem geplanten Besuch beteiligt, der auf unbestimmte Zeit verschoben wurde?","Saudi-Arabien, Bahrain, Ägypten und Jordanien",2025-05-31/ausland/article_3.md
Welche Herausforderungen haben die Grünen im Osten Deutschlands laut Kassem Taher Saleh?,"Im Osten treffen die Grünen oft nicht den richtigen Ton, da die Themen dort anders sind als im Rest der Republik, wie Frieden, Migration, Wirtschaft, Vermögen und Repräsentation auf der Bundesebene.",2025-06-30/inland/article_2.md
"Was passiert mit der Risikolebensversicherung, wenn die versicherte Person stirbt?","Stirbt die versicherte Person während der Vertragslaufzeit, wird die vereinbarte Summe aus der Risikolebensversicherung einmalig ausgezahlt.",2025-04-30/wirtschaft/article_5.md
Was plant Meta in Bezug auf Werbung bei WhatsApp?,"Meta plant, Werbung auf der Seite 'Aktuelles' bei WhatsApp zu schalten, die neben Statusupdates von Kontakten auch abonnierte Kanäle von Unternehmen anzeigt.",2025-06-30/wirtschaft/article_2.md
Warum hat Combie Cryan den Handel mit der EU aufgegeben?,Weil es zu aufwendig und teuer ist.,2025-01-31/ausland/article_7.md
Wie beschreibt Friedrich Merz Donald Trump?,Friedrich Merz hält Donald Trump für 'sehr gut kalkulierbar'.,2025-01-20/inland/article_0.md
